timestamp,joint0_pos,joint1_pos,joint2_pos,joint3_pos,joint4_pos,joint5_pos,joint6_pos,joint0_vel,joint1_vel,joint2_vel,joint3_vel,joint4_vel,joint5_vel,joint6_vel,joint0_cmd,joint1_cmd,joint2_cmd,joint3_cmd,joint4_cmd,joint5_cmd,joint6_cmd,ee_00,ee_01,ee_02,ee_03,ee_10,ee_11,ee_12,ee_13,ee_20,ee_21,ee_22,ee_23,ee_30,ee_31,ee_32,ee_33
0.000269,-0.013283,-0.526429,0.033343,-2.086512,-0.008825,1.667469,-0.714326,-0.004475,-0.010102,-0.001323,-0.008230,-0.013846,0.015223,0.004156,-0.014089,-0.544492,0.037225,-2.108756,-0.011129,1.700448,-0.706826,0.055182,0.998306,-0.017916,0.000000,0.992682,-0.052925,0.108452,0.000000,0.107322,-0.023770,-0.993940,0.000000,0.405669,0.007909,0.534432,1.000000
0.041133,-0.013298,-0.527062,0.033761,-2.087459,-0.009122,1.668917,-0.713702,0.001167,-0.028057,0.009263,-0.043597,-0.003941,0.053499,0.018950,-0.013125,-0.597383,0.040851,-2.176263,-0.016934,1.789651,-0.702381,0.055458,0.998284,-0.018292,0.000000,0.992543,-0.053131,0.109617,0.000000,0.108459,-0.024236,-0.993805,0.000000,0.405722,0.008033,0.534380,1.000000
0.082112,-0.013264,-0.528669,0.034349,-2.089731,-0.009409,1.672333,-0.712855,0.001296,-0.055833,0.010939,-0.066995,-0.012229,0.103672,0.020758,-0.009837,-0.629382,0.044188,-2.216573,-0.027076,1.847177,-0.704878,0.055760,0.998261,-0.018631,0.000000,0.992222,-0.053325,0.112394,0.000000,0.111207,-0.024753,-0.993489,0.000000,0.405820,0.008257,0.534285,1.000000
0.123099,-0.013252,-0.531933,0.034871,-2.093731,-0.010092,1.678488,-0.712157,0.001837,-0.103725,0.013440,-0.114087,-0.017987,0.181213,0.011235,-0.003597,-0.667762,0.047757,-2.269909,-0.052518,1.926855,-0.709634,0.056001,0.998236,-0.019200,0.000000,0.991588,-0.053362,0.117838,0.000000,0.116608,-0.025638,-0.992847,0.000000,0.405935,0.008367,0.534316,1.000000
0.164099,-0.012936,-0.537383,0.035454,-2.099952,-0.011473,1.688268,-0.711785,0.011388,-0.163594,0.019494,-0.173910,-0.040158,0.276861,0.000137,0.005988,-0.729463,0.041973,-2.354419,-0.067062,2.052189,-0.720382,0.055575,0.998238,-0.020337,0.000000,0.990515,-0.052560,0.126880,0.000000,0.125590,-0.027196,-0.991709,0.000000,0.406075,0.008495,0.534549,1.000000
0.205096,-0.012354,-0.545163,0.036135,-2.109005,-0.013934,1.702145,-0.711799,0.023551,-0.210698,0.018206,-0.259459,-0.066263,0.394118,-0.001173,0.010284,-0.757440,0.037747,-2.395351,-0.070680,2.113627,-0.725662,0.054422,0.998256,-0.022464,0.000000,0.988905,-0.050772,0.139533,0.000000,0.138152,-0.029809,-0.989962,0.000000,0.406229,0.008570,0.534802,1.000000
0.245104,-0.011329,-0.555077,0.036530,-2.120739,-0.016883,1.720195,-0.712284,0.027459,-0.263506,0.008338,-0.332957,-0.074186,0.509375,-0.020227,0.013158,-0.778198,0.036761,-2.429795,-0.074319,2.170328,-0.721174,0.052587,0.998298,-0.024812,0.000000,0.986615,-0.048101,0.155752,0.000000,0.154297,-0.032671,-0.987484,0.000000,0.406455,0.008615,0.535089,1.000000
0.286063,-0.009929,-0.567486,0.036689,-2.136252,-0.020019,1.743284,-0.712909,0.034075,-0.313970,0.001278,-0.416563,-0.070176,0.613595,-0.020449,0.014001,-0.798248,0.030354,-2.471467,-0.052083,2.241384,-0.735200,0.050398,0.998352,-0.027078,0.000000,0.983425,-0.044881,0.175619,0.000000,0.174117,-0.035480,-0.984085,0.000000,0.406711,0.008685,0.535120,1.000000
0.326094,-0.008634,-0.580995,0.036531,-2.154420,-0.022923,1.770246,-0.713369,0.030553,-0.344289,-0.012245,-0.474374,-0.060959,0.715713,-0.012988,0.015065,-0.802608,0.019189,-2.486933,-0.013718,2.274431,-0.775995,0.048655,0.998390,-0.028807,0.000000,0.979361,-0.042025,0.197655,0.000000,0.196130,-0.037830,-0.979848,0.000000,0.407156,0.008638,0.534763,1.000000
0.367057,-0.007442,-0.596069,0.035957,-2.175915,-0.025014,1.801837,-0.714417,0.029214,-0.374488,-0.017212,-0.546401,-0.034681,0.827550,-0.040592,0.021243,-0.815914,0.003076,-2.529548,0.054564,2.359067,-0.851399,0.046682,0.998465,-0.029488,0.000000,0.974190,-0.038982,0.222297,0.000000,0.220810,-0.039105,-0.974533,0.000000,0.407740,0.008538,0.533968,1.000000
